Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.8057792358140545,0.897652068350569,6.071519021108045,0.9964454614797864,0.057584541062801926,2.89,1.61
KNN,0.8144448020935885,0.9024659561964586,6.151072978767797,0.9964912280701754,0.057777777777777775,2.89,1.67
KNN with Means,0.7463286676343679,0.8639031587130399,6.185325494101868,0.9965980167810832,0.059516908212560386,2.9,1.71
KNN with Z-Score,0.7436646789926895,0.8623599474654939,6.189724532092349,0.9967048054919908,0.06280193236714975,2.91,1.82
KNN Baseline,0.5803439183564212,0.7618030705874197,6.1489384013755455,0.9965369946605644,0.056618357487922696,2.89,1.77
SVD Plus Plus,0.6192350822274513,0.7869149142235463,6.0699232598580375,0.9965522501906942,0.058164251207729466,2.89,1.54
NMF,4.367278589945081,2.0898034811783335,6.413806689775328,0.9967963386727688,0.05198067632850241,2.95,1.75
Slope One,0.7439501214279558,0.8625254323368997,6.143155260283815,0.9964912280701754,0.05835748792270531,2.89,1.6
Co-Clustering,1.5750041005825182,1.25499167351123,6.181198227974395,0.9965522501906942,0.06106280193236715,2.9,1.7
Baseline,2.0453274291501273,1.430149442942984,5.736538617649039,0.995255530129672,0.05256038647342995,2.72,1.75
Normal Predictor,6.161638053871334,2.482264702619633,6.201521557871433,0.9965369946605644,0.05797101449275362,2.92,1.75
SVD-KNN Hybrid,0.6612678724863306,0.8131837876435625,6.1331674233157285,0.9966590389016018,0.057391304347826085,2.9,1.75
