Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.7691407882770572,0.877006720770746,6.072354900654907,0.9971777269260107,0.06492753623188406,2.91,1.98
KNN,0.7791562807091276,0.8826982954040001,6.184891301721365,0.9973150266971778,0.06338164251207729,2.94,1.73
KNN with Means,0.7153538691870434,0.8457859476173882,6.229354669229135,0.9972692601067887,0.06473429951690819,2.94,1.6
KNN with Z-Score,0.7070462909262404,0.8408604467604838,6.24561049494693,0.997299771167048,0.06415458937198067,2.94,1.91
KNN Baseline,0.547337720804548,0.7398227631024528,6.199437130132528,0.9971929824561403,0.06396135265700482,2.93,1.73
SVD Plus Plus,0.5742743202523546,0.7578088942816352,6.1001868819876295,0.9969183829138063,0.05913043478260869,2.9,1.61
NMF,4.336021960324003,2.0823116866415563,6.435899031973439,0.9975286041189931,0.06512077294685989,2.99,1.85
Co-Clustering,1.5357560939807193,1.239256266468207,6.194794811055887,0.9972387490465293,0.06454106280193236,2.93,1.8
Baseline,2.003308623265255,1.4153828539533941,5.809274310542488,0.9959572845156369,0.06357487922705313,2.73,1.57
Normal Predictor,6.1856299775127255,2.48709267569842,6.169596018517504,0.9969794050343249,0.06743961352657005,2.93,1.9
SVD-KNN Hybrid,0.6274921314769223,0.7921440093044461,6.167111397420356,0.997299771167048,0.06434782608695652,2.93,1.6
SVD-Normal Hybrid,1.9810490935508378,1.407497457742229,6.116516281617308,0.9971319603356217,0.06647342995169081,2.92,1.82
KNN-Normal Hybrid,1.9924292859245265,1.4115343729164114,6.175517766524947,0.9971929824561403,0.06454106280193236,2.93,1.71
