Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,1.0319827486905113,1.015865517029942,9.111048347912241,0.9707412906910338,0.08425661526746621,12.38,0.82
KNN,0.8798482570261937,0.9380022692009832,9.208988421089343,0.9708914089907807,0.0838504981280538,12.76,0.88
KNN with Means,0.8132803533546588,0.9018205771408516,9.205637847086924,0.9708224198417231,0.08379973348562728,12.69,0.9
KNN with Z-Score,0.8050820130037771,0.8972636251424534,9.208544156104876,0.9709061597454516,0.08402817437654674,12.69,0.89
KNN Baseline,0.7039623586329191,0.8390246472142038,9.182946440306438,0.9707384188626907,0.08383780696744718,12.62,0.93
SVD Plus Plus,0.894326391466539,0.9456883162366653,9.118578066422831,0.970828424573713,0.08437083571292595,12.4,0.9
Non-Negative Matrix Factorization,4.406129272232125,2.0990781958355256,9.3102956254575,0.9708120420983928,0.08423123294625293,13.06,0.9
Co-clustering,1.4730745210232912,1.2137028141284385,9.21547167675606,0.9710577792281961,0.0836093660765277,12.68,0.86
Normal Predictor,5.9817705774069605,2.4457658468068773,9.23880518337808,0.9710672432079628,0.0835078367916746,12.9,0.89
Baseline,2.025719691269284,1.4232777983476326,9.012400504834646,0.9706775230480542,0.08372358652198743,11.8,0.94
KFN,3.8407521044889923,1.9597836881883144,9.143179605890973,0.9711896875254956,0.08428199758867949,12.55,0.91
KNNOFN,3.9879893119579175,1.9969950705892885,9.028544334698113,0.9708388675858693,0.08420585062503967,12.17,0.91
KNNOFNFN,4.457600747495932,2.111303092285883,9.126597398660227,0.9710625438524925,0.08399010089472682,12.53,0.9
SVD-KNN Hybrid,0.7735512733957585,0.8795176367735661,9.183156498528435,0.9708010116668027,0.08377435116441398,12.66,0.92
SVD-Normal Hybrid,2.2098033851455585,1.4865407445292438,9.14526754853379,0.9709368360936608,0.08320324893711528,12.53,0.88
KNN-Inverse Normal Hybrid,2.013871476120735,1.4191093954028826,9.201396398595984,0.9708971526474668,0.0835078367916746,12.73,0.88
SVD-KFN Hybrid,5.738073726188046,2.3954276708320887,9.103133291044568,0.9708750917842865,0.08425661526746621,12.36,0.82
SVD-KNNOFN Hybrid,1.9414898809521526,1.3933735611644684,9.055034793872029,0.970709178428653,0.08480233517355161,12.22,0.89
SVD-KNNOFN Hybrid V2,2.8226155591120197,1.6800641532727314,9.032728583644788,0.9706766745533165,0.08490386445840471,12.16,0.87
SVD-KNNOFN Hybrid V3,3.032950463706317,1.7415368108961455,9.025260709552859,0.9707136819776454,0.08481502633415826,12.14,0.86
