Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.41014329495852336,0.6404243085318696,0.9477269067869634,0.9644648790778594,0.23083274357159708,7.85,1.75
KNN,0.5771121052119852,0.7596789487750633,0.9797506641691127,0.930188252697902,0.19892663364000943,4.43,1.21
KNN with Means,0.5626747750210224,0.7501165076313294,0.9444291574097042,0.9268487292153624,0.19532908704883228,4.37,1.17
KNN with Z-Score,0.564098068634483,0.7510646234742274,0.7322510024153341,0.9174840144188765,0.19663835810332628,3.04,0.9
KNN Baseline,0.5441416229291673,0.737659557607144,1.0385400581866577,0.9298961092262543,0.19931587638594006,4.5,1.15
SVDPP,0.47555952731324636,0.6896082419122079,0.9846061483846965,0.9596884855332041,0.2294762915782024,7.22,1.81
NMF,0.6238911125746289,0.7898677817043995,1.1410232951692518,0.9249502476623455,0.1890422269403161,5.5,1.14
Co-Clustering,0.6742323881385985,0.8211165496679497,0.7691190880943595,0.9091772062695282,0.19801840056617123,2.72,0.88
Normal Predictor,2.0811521357942455,1.4426198861079953,2.0425920608773884,0.9974270853417493,0.21113470158056144,25.14,3.41
Baseline Predictor,0.6495043640830599,0.8059183358647822,0.6625016480723916,0.8910668479737701,0.18827553668317995,1.51,0.68
KFN,1.907348023418,1.3810677113805825,1.800952528510889,0.9680355465653692,0.21036801132342534,11.72,2.08
KNNOFN,0.8170434866777585,0.9039045783033508,1.5203571793110795,0.9840007193652447,0.20438782731776364,13.88,2.52
KNNOFNFN,1.20928579186466,1.0996753120192615,1.309340554236542,0.9619450147875787,0.1899386647794291,5.93,1.77
SVD-KNN Hybrid,0.4623233915103751,0.6799436678949037,0.8925401236219975,0.9461717478884151,0.21512149091766924,5.45,1.4
SVD-Normal Hybrid,0.4716731406713121,0.6867846392220142,1.1057073520140408,0.9759399386397231,0.22566643076197218,10.27,2.26
KNN-Normal Hybrid,0.6193221679074902,0.7869702458844872,1.1706412877663928,0.9636808498883179,0.1967799009200283,8.33,1.82
SVD-KFN Hybrid,0.5160581763449715,0.7183718927860218,1.1768347758405968,0.9537426724531596,0.21179523472517103,7.93,1.74
SVD-KNNOFN Hybrid,0.5274682769542538,0.7262701129430109,1.1274673696267472,0.9683795564966686,0.2150153338051427,8.97,2.02
SVD-KNNOFN Hybrid V2,0.6507246033500343,0.8066750295813268,1.2615274074939669,0.9735799583489777,0.21022646850672327,10.55,2.22
SVD-KNNOFN Hybrid V3,0.6805433754610235,0.8249505290991839,1.2681044582768737,0.9737196595305182,0.21022646850672327,10.63,2.11
