Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.4107607272647116,0.6409061766473402,0.936448875745693,0.963564714119967,0.23005425807973579,7.82,1.84
KNN,0.5758358457148458,0.7588384846031768,0.9816996674374991,0.9298548979414658,0.1969922151450814,4.37,1.23
KNN with Means,0.5619395124756464,0.7496262485236536,0.9504878001984082,0.9263528407598216,0.1939018636470866,4.37,1.15
KNN with Z-Score,0.5624554255212062,0.7499702830920744,0.7267204354958441,0.9166604652421437,0.19674451521585282,3.0,1.0
KNN Baseline,0.5439455432240621,0.7375266389928313,1.022682385889633,0.9286766836585704,0.19734607218683653,4.52,1.21
SVD Plus Plus,0.47565464172991695,0.6896772011092703,0.9785460872216497,0.9594479266382754,0.22724699221514508,7.16,1.8
NMF,0.6234337413198484,0.7895782046889646,1.1374917470099855,0.9247674183920727,0.18992686954470395,5.32,1.18
Co-clustering,0.6733677995239593,0.8205899094699857,0.7631301395473198,0.9084599833350818,0.1967209247464025,2.73,0.77
Normal Predictor,2.0874088582393897,1.4447867864288453,2.0291500217882157,0.9974053803559166,0.2110403397027601,25.18,3.49
Baseline,0.6482839974060408,0.8051608518836723,0.6632241590089037,0.8899037426160775,0.18829912715263036,1.53,0.68
SVD-KNN Hybrid,0.46213944375639254,0.6798083875301867,0.8932577410733028,0.9455543678887985,0.21342297711724462,5.47,1.48
SVD-Normal Hybrid,0.4719990346814767,0.6870218589546309,1.1085939230316337,0.9756781257716544,0.22646850672328378,10.3,2.1
